run,epoch,split,top1,top5,loss,wall_clock_min,lr,optimizer,prec_bits,device,model,batch_size,amp
Shampoo2 AdamW top half,18,val,63.04,88.65,1.422297656059265,26.121947065989175,0.0007128896457825362,shampoo2-adamw,4,mps,resnet34,256,1
Shampoo2 AdamW top half,19,train,80.022,97.248,0.6361929144096374,27.54588253100713,0.0006840622763423389,shampoo2-adamw,4,mps,resnet34,256,1
Shampoo2 AdamW top half,19,val,64.33,89.64,1.3647975817680358,27.54588253100713,0.0006840622763423389,shampoo2-adamw,4,mps,resnet34,256,1
Shampoo2 AdamW top half,20,train,81.31,97.766,0.5881688393306732,28.986825482050577,0.0006545084971874735,shampoo2-adamw,4,mps,resnet34,256,1
Shampoo2 AdamW top half,20,val,64.67,89.42,1.3857730432510376,28.986825482050577,0.0006545084971874735,shampoo2-adamw,4,mps,resnet34,256,1
Shampoo2 AdamW top half,21,train,83.292,98.308,0.5246279838371277,30.453935213883717,0.0006243449435824271,shampoo2-adamw,4,mps,resnet34,256,1
Shampoo2 AdamW top half,21,val,64.9,89.34,1.4140718729019166,30.453935213883717,0.0006243449435824271,shampoo2-adamw,4,mps,resnet34,256,1
Shampoo2 AdamW top half,22,train,84.818,98.604,0.4762058591461182,31.880222300688427,0.0005936906572928622,shampoo2-adamw,4,mps,resnet34,256,1
Shampoo2 AdamW top half,22,val,65.29,89.43,1.4314018985748291,31.880222300688427,0.0005936906572928622,shampoo2-adamw,4,mps,resnet34,256,1
Shampoo2 AdamW top half,23,train,86.488,98.948,0.4228045217704773,33.29698119958242,0.000562666616782152,shampoo2-adamw,4,mps,resnet34,256,1
Shampoo2 AdamW top half,23,val,65.37,89.17,1.478191509246826,33.29698119958242,0.000562666616782152,shampoo2-adamw,4,mps,resnet34,256,1
Shampoo2 AdamW top half,24,train,87.81,99.118,0.37971599901199343,34.67475206454595,0.0005313952597646566,shampoo2-adamw,4,mps,resnet34,256,1
Shampoo2 AdamW top half,24,val,65.51,89.33,1.4766073204040526,34.67475206454595,0.0005313952597646566,shampoo2-adamw,4,mps,resnet34,256,1
Shampoo2 AdamW top half,25,train,89.284,99.43,0.3323016707420349,36.059806032975516,0.0004999999999999998,shampoo2-adamw,4,mps,resnet34,256,1
Shampoo2 AdamW top half,25,val,66.31,89.38,1.4643177904129028,36.059806032975516,0.0004999999999999998,shampoo2-adamw,4,mps,resnet34,256,1
Shampoo2 AdamW top half,26,train,90.726,99.58,0.2900586897945404,37.4120046655337,0.00046860474023534314,shampoo2-adamw,4,mps,resnet34,256,1
Shampoo2 AdamW top half,26,val,65.94,89.61,1.5144205905914307,37.4120046655337,0.00046860474023534314,shampoo2-adamw,4,mps,resnet34,256,1
Shampoo2 AdamW top half,27,train,91.876,99.672,0.2567205763149262,38.77285613218943,0.00043733338321784774,shampoo2-adamw,4,mps,resnet34,256,1
Shampoo2 AdamW top half,27,val,65.86,89.49,1.5288040336608886,38.77285613218943,0.00043733338321784774,shampoo2-adamw,4,mps,resnet34,256,1
Shampoo2 AdamW top half,28,train,93.228,99.768,0.21941904363632203,40.15287436644236,0.00040630934270713756,shampoo2-adamw,4,mps,resnet34,256,1
