run,epoch,split,top1,top5,loss,wall_clock_min,lr,optimizer,prec_bits,device,model,batch_size,amp
Shampoo1 AdamW 4-bit,18,train,76.97,96.24,0.7368956082153321,23.9222508986791,0.0007128896457825362,shampoo1-adamw,4,mps,resnet34,256,1
Shampoo1 AdamW 4-bit,18,val,63.64,88.86,1.362378286743164,23.9222508986791,0.0007128896457825362,shampoo1-adamw,4,mps,resnet34,256,1
Shampoo1 AdamW 4-bit,19,train,79.406,96.974,0.6643918661499023,28.681276281674702,0.0006840622763423389,shampoo1-adamw,4,mps,resnet34,256,1
Shampoo1 AdamW 4-bit,19,val,63.29,88.46,1.415315386390686,28.681276281674702,0.0006840622763423389,shampoo1-adamw,4,mps,resnet34,256,1
Shampoo1 AdamW 4-bit,20,train,80.842,97.602,0.6059932967567444,29.89987249771754,0.0006545084971874735,shampoo1-adamw,4,mps,resnet34,256,1
Shampoo1 AdamW 4-bit,20,val,63.45,89.08,1.4557790407180786,29.89987249771754,0.0006545084971874735,shampoo1-adamw,4,mps,resnet34,256,1
Shampoo1 AdamW 4-bit,21,train,82.314,97.962,0.5578525660800934,31.151691635449726,0.0006243449435824271,shampoo1-adamw,4,mps,resnet34,256,1
Shampoo1 AdamW 4-bit,21,val,64.43,89.16,1.388238321685791,31.151691635449726,0.0006243449435824271,shampoo1-adamw,4,mps,resnet34,256,1
Shampoo1 AdamW 4-bit,22,train,84.092,98.346,0.499478674736023,32.756646716594695,0.0005936906572928622,shampoo1-adamw,4,mps,resnet34,256,1
Shampoo1 AdamW 4-bit,22,val,65.06,89.18,1.3943576316833497,32.756646716594695,0.0005936906572928622,shampoo1-adamw,4,mps,resnet34,256,1
Shampoo1 AdamW 4-bit,23,train,85.438,98.802,0.44841444454193113,34.49465967019399,0.000562666616782152,shampoo1-adamw,4,mps,resnet34,256,1
Shampoo1 AdamW 4-bit,23,val,65.06,89.45,1.4286360521316528,34.49465967019399,0.000562666616782152,shampoo1-adamw,4,mps,resnet34,256,1
Shampoo1 AdamW 4-bit,24,train,87.046,99.024,0.40319272180557253,36.018578199545544,0.0005313952597646566,shampoo1-adamw,4,mps,resnet34,256,1
Shampoo1 AdamW 4-bit,24,val,65.68,88.97,1.4461228982925416,36.018578199545544,0.0005313952597646566,shampoo1-adamw,4,mps,resnet34,256,1
Shampoo1 AdamW 4-bit,25,train,89.114,99.33,0.34346796684265135,38.026823751131694,0.0004999999999999998,shampoo1-adamw,4,mps,resnet34,256,1
Shampoo1 AdamW 4-bit,25,val,65.37,89.37,1.4550046016693114,38.026823751131694,0.0004999999999999998,shampoo1-adamw,4,mps,resnet34,256,1
Shampoo1 AdamW 4-bit,26,train,90.55,99.508,0.3019453685092926,48.27479233344396,0.00046860474023534314,shampoo1-adamw,4,mps,resnet34,256,1
Shampoo1 AdamW 4-bit,26,val,65.91,89.43,1.4770823305130005,48.27479233344396,0.00046860474023534314,shampoo1-adamw,4,mps,resnet34,256,1
Shampoo1 AdamW 4-bit,27,train,91.574,99.664,0.2664167400407791,71.84675554831823,0.00043733338321784774,shampoo1-adamw,4,mps,resnet34,256,1
Shampoo1 AdamW 4-bit,27,val,66.72,89.74,1.4674067405700684,71.84675554831823,0.00043733338321784774,shampoo1-adamw,4,mps,resnet34,256,1
Shampoo1 AdamW 4-bit,28,train,92.87,99.784,0.2305772897529602,77.15939635038376,0.00040630934270713756,shampoo1-adamw,4,mps,resnet34,256,1
Shampoo1 AdamW 4-bit,28,val,66.87,89.68,1.4907340034484864,77.15939635038376,0.00040630934270713756,shampoo1-adamw,4,mps,resnet34,256,1
Shampoo1 AdamW 4-bit,29,train,93.826,99.85,0.1981548099899292,101.37393244902293,0.00037565505641757246,shampoo1-adamw,4,mps,resnet34,256,1
Shampoo1 AdamW 4-bit,29,val,66.97,89.92,1.4833730709075927,101.37393244902293,0.00037565505641757246,shampoo1-adamw,4,mps,resnet34,256,1
Shampoo1 AdamW 4-bit,30,train,95.046,99.864,0.1668030958557129,102.60155460039775,0.00034549150281252633,shampoo1-adamw,4,mps,resnet34,256,1
Shampoo1 AdamW 4-bit,30,val,66.79,89.27,1.5548836935043335,102.60155460039775,0.00034549150281252633,shampoo1-adamw,4,mps,resnet34,256,1
Shampoo1 AdamW 4-bit,31,train,95.632,99.952,0.14728431362628938,103.88441509803137,0.00031593772365766105,shampoo1-adamw,4,mps,resnet34,256,1
Shampoo1 AdamW 4-bit,31,val,67.21,89.67,1.5318232942581176,103.88441509803137,0.00031593772365766105,shampoo1-adamw,4,mps,resnet34,256,1
Shampoo1 AdamW 4-bit,32,train,96.688,99.958,0.11984282108068466,105.95174094835917,0.00028711035421746355,shampoo1-adamw,4,mps,resnet34,256,1
Shampoo1 AdamW 4-bit,32,val,67.98,90.17,1.5180320268630982,105.95174094835917,0.00028711035421746355,shampoo1-adamw,4,mps,resnet34,256,1
Shampoo1 AdamW 4-bit,33,train,97.436,99.98,0.09852328022956848,107.49493006865184,0.0002591231629491422,shampoo1-adamw,4,mps,resnet34,256,1
Shampoo1 AdamW 4-bit,33,val,67.85,90.06,1.5356172500610352,107.49493006865184,0.0002591231629491422,shampoo1-adamw,4,mps,resnet34,256,1
Shampoo1 AdamW 4-bit,34,train,97.776,99.988,0.08464443266153336,108.90979043245315,0.00023208660251050145,shampoo1-adamw,4,mps,resnet34,256,1
Shampoo1 AdamW 4-bit,34,val,68.57,90.09,1.548251041984558,108.90979043245315,0.00023208660251050145,shampoo1-adamw,4,mps,resnet34,256,1
Shampoo1 AdamW 4-bit,35,train,98.14,99.994,0.07386019028544426,110.28411834637323,0.00020610737385376337,shampoo1-adamw,4,mps,resnet34,256,1
Shampoo1 AdamW 4-bit,35,val,68.67,90.41,1.519254892539978,110.28411834637323,0.00020610737385376337,shampoo1-adamw,4,mps,resnet34,256,1
Shampoo1 AdamW 4-bit,36,train,98.552,99.988,0.06342100451231003,111.68121564785639,0.00018128800512565502,shampoo1-adamw,4,mps,resnet34,256,1
Shampoo1 AdamW 4-bit,36,val,68.82,90.45,1.540302876663208,111.68121564785639,0.00018128800512565502,shampoo1-adamw,4,mps,resnet34,256,1
Shampoo1 AdamW 4-bit,37,train,98.834,100.0,0.05327194572925568,113.02671799659728,0.00015772644703565555,shampoo1-adamw,4,mps,resnet34,256,1
Shampoo1 AdamW 4-bit,37,val,68.64,90.46,1.546455177307129,113.02671799659728,0.00015772644703565555,shampoo1-adamw,4,mps,resnet34,256,1
Shampoo1 AdamW 4-bit,38,train,99.004,99.994,0.04744496626853943,114.35162996848425,0.00013551568628929425,shampoo1-adamw,4,mps,resnet34,256,1
Shampoo1 AdamW 4-bit,38,val,68.62,90.5,1.5450863843917846,114.35162996848425,0.00013551568628929425,shampoo1-adamw,4,mps,resnet34,256,1
Shampoo1 AdamW 4-bit,39,train,99.298,99.998,0.039070243933200834,115.68939584891001,0.00011474337861210535,shampoo1-adamw,4,mps,resnet34,256,1
