run,epoch,split,top1,top5,loss,wall_clock_min,lr,optimizer,prec_bits,device,model,batch_size,amp
Shampoo2 AdamW 4-bit,1,train,8.164,27.072,4.006401285476684,5.745690850416819,0.0009990133642141358,shampoo2-adamw,4,mps,resnet34,256,1
Shampoo2 AdamW 4-bit,1,val,11.9,34.34,3.77114150390625,5.745690850416819,0.0009990133642141358,shampoo2-adamw,4,mps,resnet34,256,1
Shampoo2 AdamW 4-bit,2,train,17.092,44.372,3.4133854456329344,12.674745535850525,0.000996057350657239,shampoo2-adamw,4,mps,resnet34,256,1
Shampoo2 AdamW 4-bit,2,val,18.79,47.05,3.396514324951172,12.674745535850525,0.000996057350657239,shampoo2-adamw,4,mps,resnet34,256,1
Shampoo2 AdamW 4-bit,3,train,26.072,57.876,2.9067011212158205,13.872779953479768,0.0009911436253643444,shampoo2-adamw,4,mps,resnet34,256,1
Shampoo2 AdamW 4-bit,3,val,30.71,64.32,2.675670672607422,13.872779953479768,0.0009911436253643444,shampoo2-adamw,4,mps,resnet34,256,1
Shampoo2 AdamW 4-bit,4,train,34.7,67.418,2.49410001991272,15.1645663022995,0.0009842915805643156,shampoo2-adamw,4,mps,resnet34,256,1
Shampoo2 AdamW 4-bit,4,val,36.12,69.2,2.4387529846191405,15.1645663022995,0.0009842915805643156,shampoo2-adamw,4,mps,resnet34,256,1
Shampoo2 AdamW 4-bit,5,train,40.764,73.992,2.196487995147705,16.923931654294332,0.0009755282581475769,shampoo2-adamw,4,mps,resnet34,256,1
Shampoo2 AdamW 4-bit,5,val,39.25,71.17,2.357774688720703,16.923931654294332,0.0009755282581475769,shampoo2-adamw,4,mps,resnet34,256,1
Shampoo2 AdamW 4-bit,6,train,45.984,78.288,1.968199380569458,18.38678160508474,0.0009648882429441258,shampoo2-adamw,4,mps,resnet34,256,1
Shampoo2 AdamW 4-bit,6,val,45.85,77.82,2.028585545349121,18.38678160508474,0.0009648882429441258,shampoo2-adamw,4,mps,resnet34,256,1
Shampoo2 AdamW 4-bit,7,train,50.134,81.624,1.7878878396987916,19.812289802233376,0.0009524135262330099,shampoo2-adamw,4,mps,resnet34,256,1
Shampoo2 AdamW 4-bit,7,val,48.49,78.99,1.916887449645996,19.812289802233376,0.0009524135262330099,shampoo2-adamw,4,mps,resnet34,256,1
Shampoo2 AdamW 4-bit,8,train,53.556,84.064,1.6452743395233154,21.2230989019076,0.0009381533400219318,shampoo2-adamw,4,mps,resnet34,256,1
Shampoo2 AdamW 4-bit,8,val,52.02,82.58,1.7322919372558594,21.2230989019076,0.0009381533400219318,shampoo2-adamw,4,mps,resnet34,256,1
Shampoo2 AdamW 4-bit,9,train,56.866,86.212,1.5079792826080323,22.640249554316203,0.0009221639627510075,shampoo2-adamw,4,mps,resnet34,256,1
Shampoo2 AdamW 4-bit,9,val,52.27,82.71,1.7448676139831543,22.640249554316203,0.0009221639627510075,shampoo2-adamw,4,mps,resnet34,256,1
